MovieID	UserID	Rating
7424	6	1
7059	4	1
7579	4	1
76599	6	1
3124	4	1
7059	6	1
74287	34	1
6728	34	1
6728	4	1
11030	34	1
6809	34	1
75268	34	1
74232	34	1
6809	6	1
77660	34	1
28751	34	1
74197	34	1
6825	4	1
74185	34	1
10258	2	1
74329	34	1
73978	34	1
77663	34	1
73505	34	1
7483	34	1
7483	4	1
76572	34	1
22158	34	1
44334	34	1
11022	34	1
7361	34	1
74116	34	1
7370	34	1
7440	34	1
9999	34	1
4672	6	1
74214	34	1
74296	34	1
2892	4	1
73948	34	1
3198	4	1
74131	34	1
73892	34	1
73899	34	1
73919	34	1
4621	4	1
3912	4	1
5668	4	1
5037	4	1
7624	4	1
4695	4	1
76589	34	1
1218	2	1
1218	1096	1
73911	34	1
5905	4	1
7514	4	1
74254	34	1
73881	34	1
1657	34	1
74263	34	1
74280	34	1
10116	34	1
10448	34	1
24760	34	1
16656	34	1
4772	4	1
10002	34	1
73990	34	1
75211	34	1
73937	34	1
74498	34	1
74068	34	1
73925	34	1
73853	34	1
10358	34	1
73878	34	1
74921	34	1
74953	34	1
73869	34	1
74277	34	1
2493	34	1
7630	34	1
10263	34	1
76625	34	1
73981	34	1
73882	34	1
74066	34	1
75087	34	1
74274	34	1
73998	34	1
74035	34	1
74077	34	1
73980	34	1
76613	6	1
74946	34	1
73951	34	1
74312	34	1
10273	4	1
81898	34	1
73964	34	1
73947	34	1
33269	34	1
75010	34	1
79736	29	1
74165	34	1
74039	34	1
73957	34	1
73916	34	1
73921	34	1
76603	4	1
76603	6	1
74094	34	1
74235	34	1
6809	3319	1
74169	34	1
77641	34	1
74013	34	1
74069	34	1
74001	34	1
74167	34	1
2470	10	1
74284	34	1
74253	34	1
74499	34	1
8830	3328	1
2353	3328	1
7626	3328	1
8303	3328	1
2348	3328	1
6840	3328	1
1228	3328	1
33388	2	1
74243	34	1
74099	34	1
74215	34	1
74139	34	1
2302	3328	1
86345	3328	1
8961	3328	1
8885	3328	1
4755	3328	1
74076	34	1
6755	3328	1
74070	34	1
74007	34	1
76610	3328	1
7164	3328	1
5985	3328	1
8200	3328	1
74488	34	1
74148	34	1
74888	34	1
2633	4	1
2460	4	1
74931	34	1
74949	34	1
73907	34	1
74083	34	1
10483	34	1
73982	34	1
74019	34	1
73868	34	1
73804	34	1
8923	3328	1
73876	34	1
73923	34	1
4688	34	1
74359	34	1
73909	34	1
74363	34	1
11086	4	1
19376	3328	1
3117	4	1
3006	4	1
74067	34	1
73879	34	1
74073	34	1
73886	34	1
4006	3328	1
4756	3328	1
3989	3328	1
74258	34	1
74391	34	1
73955	34	1
7059	3328	1
8680	3328	1
74222	34	1
74049	34	1
73820	34	1
74011	34	1
74060	34	1
85075	3328	1
12027	6	1
74118	34	1
74092	34	1
27857	34	1
29461	34	1
33127	34	1
20410	34	1
3534	34	1
11790	34	1
22547	34	1
11144	4	1
23114	34	1
74234	34	1
2672	3328	1
4788	3328	1
74014	34	1
74161	34	1
78743	34	1
74166	34	1
74084	34	1
74191	34	1
74346	34	1
73929	34	1
10098	34	1
74898	34	1
6028	34	1
74008	34	1
74129	34	1
74171	34	1
74989	34	1
75024	34	1
82923	34	1
74216	34	1
74113	34	1
7575	3328	1
81898	3328	1
74048	34	1
36514	34	1
36981	34	1
30673	34	1
74319	34	1
3114	34	1
3910	3328	1
3871	3328	1
2493	3328	1
2821	34	1
10264	3328	1
90187	3328	1
7657	3328	1
7483	3328	1
92293	3328	1
5065	34	1
18473	3328	1
24047	34	1
10356	3328	1
4578	34	1
2815	3328	1
3149	34	1
4755	34	1
6847	34	1
6846	34	1
7482	34	1
7407	34	1
2434	34	1
2450	34	1
13739	34	1
991	3328	1
8036	3328	1
83028	3328	1
268	2	1
95532	34	1
95566	34	1
19145	4	1
95547	3328	1
94293	3328	1
95645	34	1
2424	3328	1
95529	2	1
40222	34	1
95508	3328	1
95476	4	1
95476	6	1
95602	34	1
92252	34	1
95786	34	1
95757	3328	1
96046	3328	1
95602	3328	1
95731	3328	1
95643	3328	1
95643	6	1
96098	3328	1
8187	3328	1
8302	3328	1
8188	3328	1
95826	3328	1
97466	3328	1
96375	3328	1
95830	3328	1
97438	3328	1
95602	4	1
99724	3328	1
98574	3328	1
95827	6	1
95827	3328	1
101853	3328	1
101876	3328	1
101833	3328	1
95829	6	1
102005	3328	1
101899	3328	1
97443	3328	1
102052	3328	1
101851	3328	1
102799	34	1
2269	2	2
76572	4	2
6084	4	2
74336	34	2
7555	4	2
76639	34	2
75277	34	2
74231	34	2
1721	2	2
1721	1096	2
42093	34	2
9269	34	2
74304	34	2
2600	29	2
1510	29	2
10271	34	2
45086	29	2
10356	34	2
11289	34	2
52795	29	2
2313	2	2
73933	34	2
7440	4	2
4957	6	2
7440	6	2
10236	2	2
2497	4	2
7308	4	2
10236	29	2
6809	4	2
45746	29	2
4059	4	2
2301	2	2
2511	4	2
73819	34	2
2062	2	2
3695	4	2
7371	4	2
7164	4	2
7172	4	2
7258	4	2
4107	4	2
7407	2	2
2567	4	2
43386	4	2
73805	34	2
3953	4	2
74064	34	2
74101	34	2
1389	2	2
74123	34	2
76632	34	2
76569	4	2
3603	4	2
74920	34	2
7081	34	2
6809	2	2
73860	34	2
74152	34	2
73825	34	2
2300	34	2
1744	2	2
74902	34	2
12462	4	2
79734	1096	2
2053	2	2
79734	2	2
76608	34	2
7498	6	2
10864	34	2
79793	1096	2
73821	34	2
4651	4	2
5747	4	2
7202	6	2
21455	34	2
4567	34	2
78740	2	2
80812	2	2
81814	34	2
78751	34	2
73922	34	2
2180	2	2
2336	2	2
4013	4	2
10460	34	2
82920	34	2
82918	2	2
9544	34	2
24308	34	2
82964	1096	2
2302	1096	2
75273	2	2
82964	2	2
77655	4	2
74301	34	2
83063	34	2
81896	4	2
6751	34	2
4755	4	2
81896	6	2
84118	34	2
4755	6	2
80813	1096	2
10180	4	2
74412	34	2
73995	34	2
12733	34	2
16775	34	2
75004	34	2
5992	34	2
74140	34	2
9304	34	2
73927	34	2
73902	34	2
73823	34	2
75062	34	2
74276	34	2
74196	34	2
84071	2	2
74267	34	2
86258	2	2
75241	34	2
74157	34	2
74313	34	2
74141	34	2
74147	34	2
74124	34	2
86101	2	2
86340	34	2
8984	3328	2
74042	34	2
10273	2	2
76629	3328	2
8696	3328	2
86103	2	2
4755	2	2
75185	34	2
73786	34	2
7657	4	2
74158	34	2
77687	2	2
74125	34	2
74226	34	2
74107	34	2
74273	34	2
83060	3328	2
84149	3328	2
7160	3328	2
7447	3328	2
74201	34	2
9033	3328	2
73505	3328	2
5905	3328	2
6751	3328	2
4577	3328	2
404	3328	2
74490	34	2
7639	3328	2
3969	3328	2
5618	3328	2
3957	3328	2
6809	3328	2
6066	3328	2
7498	3328	2
3617	3328	2
74431	34	2
78716	3328	2
75159	34	2
74908	34	2
4086	3328	2
76567	3328	2
73894	34	2
7296	3328	2
7494	3328	2
8396	3328	2
73815	34	2
10317	3328	2
7016	3328	2
74901	34	2
74502	34	2
73973	34	2
74986	34	2
27841	3328	2
73873	34	2
77653	34	2
6847	3328	2
1242	3328	2
2065	3328	2
9118	3328	2
74448	34	2
75183	34	2
73802	34	2
7569	3328	2
74967	34	2
11322	4	2
73807	34	2
74941	34	2
6751	4	2
958	3328	2
7104	3328	2
5867	3328	2
74135	34	2
75251	34	2
7172	3328	2
5668	3328	2
7077	3328	2
2921	3328	2
4038	3328	2
7834	3328	2
8072	3328	2
4752	34	2
25997	34	2
33390	34	2
27582	34	2
20445	6	2
8290	3328	2
8294	3328	2
81892	1096	2
44955	34	2
27289	34	2
7089	3328	2
13887	34	2
74468	34	2
73914	34	2
73970	34	2
74057	34	2
19608	34	2
74043	34	2
5070	34	2
74309	34	2
41406	34	2
73954	34	2
73761	34	2
74915	34	2
74175	34	2
73966	34	2
74050	34	2
74160	34	2
26524	34	2
74465	34	2
87403	3328	2
7440	3328	2
4075	34	2
15039	34	2
74178	34	2
6019	34	2
74518	34	2
27200	34	2
74172	34	2
73983	34	2
77681	3328	2
76576	3328	2
7062	3328	2
7369	3328	2
7286	3328	2
7330	3328	2
75173	34	2
29423	34	2
30835	34	2
73940	34	2
74495	34	2
73875	34	2
7361	3328	2
6525	3328	2
4764	34	2
33538	34	2
76583	3328	2
87435	3328	2
7413	3328	2
81901	3328	2
76603	3328	2
91235	3328	2
77709	3328	2
7722	3328	2
4701	3328	2
5037	3328	2
2553	34	2
86360	3328	2
7588	3328	2
7657	34	2
2743	34	2
36429	34	2
2787	34	2
4570	34	2
92367	34	2
10299	3328	2
93257	34	2
91237	3328	2
44096	34	2
37153	34	2
3862	3328	2
5999	3328	2
4984	3328	2
46932	34	2
48153	34	2
16337	34	2
3076	34	2
6811	34	2
87388	3328	2
26757	34	2
31448	34	2
10432	4	2
94321	2	2
23637	34	2
41773	34	2
33898	34	2
95414	34	2
11145	6	2
2652	34	2
2812	34	2
2541	34	2
6434	34	2
3204	34	2
94392	2	2
6755	2	2
95417	2	2
76632	3328	2
95417	3328	2
404	2	2
2419	34	2
333	2	2
10383	2	2
95530	2	2
95530	3328	2
95478	34	2
1940	2	2
9028	3328	2
95531	3328	2
90198	34	2
92273	34	2
74335	34	2
95696	3328	2
9561	3319	2
81836	34	2
95894	34	2
74330	34	2
95603	2	2
95867	3328	2
1723	3328	2
95985	3328	2
95865	3328	2
95863	3328	2
95984	3328	2
86285	3328	2
95677	2	2
96249	3328	2
2497	3328	2
96325	34	2
96098	2	2
96302	3328	2
96290	3328	2
96321	3328	2
8184	3328	2
95826	6	2
95832	3328	2
96234	3328	2
97464	3328	2
1867	8680	2
96250	3328	2
97428	2	2
77675	8680	2
95646	8680	2
95631	3328	2
97404	3328	2
97428	3328	2
96142	3328	2
2501	3328	2
97464	2	2
95456	3328	2
98545	3328	2
96360	3328	2
99724	8680	2
95894	8680	2
86302	2	2
98660	2	2
2039	2	2
95645	8680	2
99764	2	2
94294	8680	2
101883	8680	2
99764	3328	2
101857	3328	2
98514	3328	2
96073	2	2
102099	8680	2
102054	3328	2
98656	3328	2
86302	3328	2
102178	3328	2
96224	3328	2
96239	6	2
96239	8680	2
102387	34	2
102412	34	2
96063	2	2
102364	2	2
102386	2	2
102284	2	2
102668	34	2
102077	34	2
103074	8680	2
103601	34	2
628	2	5
7412	2	5
2875	2	5
3046	6	5
2592	6	5
2893	6	5
3046	2	5
2539	6	5
2380	6	5
7367	2	5
4606	6	5
10390	2	5
2644	6	5
2524	6	5
2524	2	5
59754	2	5
7065	2	5
3987	6	5
74257	2	5
34591	4	5
34591	6	5
74331	2	5
7488	4	5
6789	4	5
54664	6	5
34488	4	5
44234	4	5
7620	4	5
7135	4	5
2470	6	5
6166	4	5
10240	2	5
2611	6	5
